HGNC_Symbol,log2R_CNA,Z_Score
SNORD121B,2,-0.0122
HTR4,2,-0.0121
SNORD121A,2,-0.0099
HTR6,2,-0.0120
HTR7,3,-0.0116
RNU6-654P,3,-0.0122
RN7SL563P,2,-0.0094
ARL14EPP1,5,-0.0110
EXOC3-AS1,5,-0.0051
DHDH,2,-0.0111
AL356495.1,3,-0.0106
RNU6-653P,3,-0.0113
COL13A1,3,-0.0116
AC077690.1,3,-0.0121
BNC2-AS1,12,0.0059
SNORA63B,3,-0.0122
SNORA63C,2,-0.0093
RNU6-656P,2,-0.0122
RN7SL561P,5,-0.0122
SNORA63D,3,-0.0080
SNORA63E,3,-0.0122
DHFR,2,-0.0013
AC097499.2,3,-0.0122
AC007066.1,3,-0.0099
DCLRE1CP1,3,-0.0122
AC007066.2,3,-0.0113
AC097499.1,3,-0.0122
RNU6-655P,3,-0.0122
RN7SL560P,3,-0.0122
AL390037.1,4,-0.0120
RNU6-650P,6,-0.0122
MYBPC3,3,-0.0120
MYBPC1,2,-0.0122
MYBPC2,2,-0.0107
AL158032.2,3,-0.0122
AL158032.1,3,-0.0122
AC091965.1,2,-0.0121
TMEFF1,3,-0.0120
TMEFF2,3,-0.0121
AC091965.2,2,-0.0122
TRDD2,3,-0.0122
AC091965.3,2,-0.0122
TRDD3,3,-0.0122
TRDD1,3,-0.0122
AC091965.4,2,-0.0122
AC091965.5,2,-0.0122
VCAN-AS1,2,-0.0100
RPS7P11,3,-0.0093
RPS7P12,3,-0.0121
AL353613.1,3,-0.0122
RPS7P10,3,-0.0105
AL080315.1,3,-0.0122
AC064836.1,3,-0.0122
AC064836.2,3,-0.0095
AC064836.3,3,-0.0117
BORCS7-ASMT,3,-0.0122
RPS7P15,2,-0.0117
AL024509.1,3,-0.0122
RPS7P13,3,-0.0122
AL024509.2,3,-0.0122
RNU6-652P,2,-0.0107
RPS7P14,3,-0.0118
MBD3,4,0.0072
MBD4,3,0.0218
MBD5,3,-0.0081
MBD6,2,-0.0094
MBD1,3,0.0142
MBD2,3,0.0049
AC006237.1,3,-0.0122
RNU6-651P,3,-0.0119
AC006967.1,5,-0.0122
AC006967.2,5,-0.0122
AC006967.3,5,-0.0121
RNF14P1,3,-0.0115
RNF14P2,2,-0.0122
FBXO27,3,-0.0100
FBXO28,3,0.0087
FBXO25,2,-0.0066
FBXO24,6,-0.0107
MCHR2-AS1,3,-0.0122
AC236972.3,2,-0.0122
FBXO21,2,0.0030
AC104257.1,2,-0.0121
FBXO22,3,0.0044
AC236972.4,2,-0.0122
AC236972.1,2,-0.0122
AC236972.2,2,-0.0122
CLDN7P1,3,-0.0122
IGHD2OR15-2B,4,-0.0122
MYBPHL,2,-0.0119
IGHD2OR15-2A,4,-0.0112
RNF14P3,6,-0.0106
RNF14P4,6,-0.0120
AC011530.1,2,-0.0122
AC044839.2,3,-0.0122
AC044839.3,3,-0.0117
AC073592.10,2,-0.0122
FBXO16,2,-0.0110
FBXO17,3,-0.0064
AC044839.1,3,-0.0122
FBXO15,3,-0.0111
FBXO10,2,-0.0108
FBXO11,5,0.0100
AC092794.1,2,-0.0119
AC092794.2,2,-0.0121
MINPP1,3,0.0226
Z97192.1,3,-0.0122
Z97192.2,3,-0.0122
Z97192.3,3,-0.0121
FBXO47,3,-0.0121
FBXO48,3,-0.0111
FBXO45,3,-0.0012
FBXO46,2,-0.0060
Z97192.4,NA,-0.0122
FBXO43,2,-0.0104
FBXO44,2,0.0010
FBXO41,3,-0.0084
FBXO42,2,-0.0054
GRAMD4P3,3,-0.0115
FBXO40,3,-0.0122
GRAMD4P4,3,-0.0119
GRAMD4P1,3,-0.0122
GRAMD4P2,3,-0.0112
GRAMD4P7,3,-0.0105
GRAMD4P8,3,-0.0119
GRAMD4P5,4,-0.0121
GRAMD4P6,4,-0.0122
MBIP,3,-0.0012
AC040963.1,3,-0.0122
Z73965.1,3,-0.0114
AC007160.1,3,-0.0121
AC073636.1,3,-0.0121
AC138832.1,2,-0.0112
HTR1E,3,-0.0122
