HGNC_Symbol,log2R_CNA,Z_Score
HTR4,-0.028919049,-1.0723
CRHBP,-0.086295968,-0.8436
HTR6,-0.013963577,-1.0142
HTR7,-0.036380679,-0.8010
LURAP1L,-0.037467698,0.6060
BBX,-0.043677044,0.3695
GSTK1,0.011393684,1.5401
WDR83OS,-0.031585572,1.9858
DHDH,-0.02163322,-1.0181
INSYN1,-0.043914858,0.2378
BCR,-0.047944144,0.5323
ORAI3,-0.017289959,0.0866
ORAI2,-0.035947196,0.3889
AGTR1,-0.019806269,-0.7429
VOPP1,-0.048035055,1.2261
ORAI1,-0.026312731,0.3889
HOATZ,-0.040976805,-1.0336
AGTR2,0.01001888,-1.0723
COL13A1,-0.052454176,0.6835
SHMT2,-0.032056383,1.8153
SHMT1,-0.048797263,-0.0103
B3GLCT,-0.066596264,0.3657
RDH12,-0.064154309,-1.0607
RDH11,-0.064154309,1.0052
RDH10,-0.089666601,0.4471
RDH16,-0.032056383,-1.0607
RDH14,0.056301038,0.5944
RDH13,-0.02163322,-0.0801
GTF2IRD2B,-0.048035055,0.1757
GSTM4,-0.01646604,0.4316
GSTM3,-0.01646604,1.3424
GSTM1,-0.01646604,-1.0413
NEBL,-0.052454176,-0.9444
DHFR,-0.086295968,0.9509
DELEC1,-0.026107428,NA
PKIB,-0.039421383,-0.9638
STRC,-0.049045914,-1.0607
PKIA,-0.106909599,-0.2196
STRN,0.034212962,0.3928
L1TD1,-0.054949112,-1.0723
PKIG,-0.012699251,1.3114
GSTM5,-0.01646604,-0.3708
KCNC1,-0.007380051,-1.0413
KCNC2,-0.024985791,-1.0723
KCNC3,-0.02163322,-1.0607
KCNC4,-0.01646604,0.1486
BBC3,-0.02163322,-0.1033
NPAP1,-0.027822998,-1.0723
GLT1D1,0.003448901,-1.0723
NEFL,-0.023585098,-0.3669
NEFM,-0.023585098,-0.4289
NEFH,-0.013331715,-0.3591
STUM,-0.056836871,-1.0723
MYBPC3,-0.012044511,-1.0723
MYBPC1,-0.067251004,-1.0723
MYBPC2,-0.02163322,-1.0684
KCND1,0.0380234,-0.6305
KCND2,-0.051442113,-0.6925
GSTO2,-0.030995855,-0.4405
GSTO1,-0.030995855,2.0595
KCND3,-0.01646604,-0.6576
BGN,0.01001888,2.4199
TMEFF1,-0.047521498,-0.7739
TMEFF2,0.02225575,-0.5956
PKN3,-0.026107428,-0.0219
