HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,1.26327,0.0970748
RB1,0.844749,0.763724
SMARCB1,0.466787,-0.379223
MYT1L,0.256321,4.86214
EHMT2,1.35449,-0.208451
JMJD1C,0.79674,1.41971
KEAP1,0.787762,-0.800015
IKZF1,1.42297,-0.521548
ADARB1,0.0525229,0.335837
PPP2R1A,0.787762,-1.47303
MYC,1.91252,0.0325933
AKT2,0.787762,-0.759472
CHEK2,0.400134,-1.3003
AKT3,-0.842398,0.583885
MYB,0.882677,-0.925673
FBXO4,0.542233,-0.333018
KDR,0.29244,-0.838431
AKT1,0.789487,-0.981316
PIP4K2C,0.846648,-0.759078
HMCN1,0.0170123,-0.645042
SOX9,0.583662,-0.258779
SKP2,0.542233,-0.748256
B2M,-0.459978,0.652462
TP63,1.66268,-0.0934377
EPHA5,0.29244,-0.557025
DAXX,1.35449,1.5137
CIRBP,0.587263,-0.026143
DICER1,0.705144,1.06623
HNF1A,0.753435,-0.497765
HLA-A,1.35449,1.03941
TMEM82,0.906451,-0.404786
RUNX1,0.145868,1.18181
JMJD6,0.583662,-0.901047
BCR,0.466787,-0.723218
AR,1.73833,0.316049
SCGB1C1,1.06011,NA
DDIT4,0.785662,0.00137078
KCNQ2,1.27508,-1.04659
BTK,1.70806,-0.160676
TP53,0.577061,0.380005
EPHA3,1.23768,-0.912113
LLGL2,0.583662,-1.04355
EPHA10,0.906451,-0.633172
PDGFB,0.394217,-1.12349
PRDM14,1.93667,-1.03644
PDGFA,1.32595,-0.239027
PIK3R1,0.879986,-0.831086
GATA3,0.753236,-0.451131
GATA2,1.58552,0.157033
GATA1,1.73833,-1.30189
BRIP1,0.577061,-1.0832
GRIN2A,0.797149,0.41036
NKAIN4,1.27508,-0.582651
H3C2,1.35449,0.325715
APOBEC3C,0.394217,0.716643
WWTR1,1.68405,1.61616
APOBEC3D,0.394217,0.964065
CREBBP,0.797149,-0.669965
FER1L5,0.841474,-0.98237
APOBEC3F,0.394217,NA
YES1,0.433174,0.400952
APOBEC3G,0.394217,1.91814
XRCC2,1.07921,-0.0526183
PLK1,0.797149,0.582922
XRCC3,0.789487,-0.00189724
BRAF,1.26327,0.20446
A1CF,0.775704,-0.445212
SMARCA4,0.787762,-1.40428
H1-2,1.35449,NA
CYLD,0.826725,2.26456
STAG2,0.301775,-0.69968
AGO3,0.906451,0.432959
AGO4,0.906451,0.603627
AGO1,0.906451,-0.244096
ID2,0.440799,-1.72496
FUBP1,0.879523,0.88605
ID1,1.40492,-1.46384
AGO2,1.77732,0.874899
ID3,0.906451,-1.39863
ATM,-0.438155,0.165597
FAT4,0.298483,-0.890016
CDK12,0.577061,-0.614726
EZH1,0.577061,-0.00366241
APOBEC3A,0.394217,-0.250051
BAP1,1.16207,0.253568
TP73,0.906451,-0.970944
EZH2,1.26327,-0.0655756
ATR,1.64974,2.84439
RET,0.828573,-0.418013
COL18A1,0.176457,-0.257506
SETD2,1.16207,-0.0570431
CDKN1B,1.32979,-0.183745
SETD7,0.277849,0.386703
CTCF,0.826725,-0.187617
BRCA1,0.577061,0.0193878
GLI1,0.846648,-0.614886
BRCA2,0.878016,0.623757
PHF6,1.67823,0.723606
GLI3,1.42297,-0.100822
GLI2,0.47032,-0.716525
MED12,1.73833,0.352124
HEY1,1.98085,-0.118488
HEY2,0.92061,-0.378439
CIC,0.787762,-0.203276
JAK2,1.29101,0.106674
HRAS,1.06011,0.252682
TEAD1,0.892927,0.831803
JAK3,0.787762,-0.128728
H3-3A,-0.757478,-1.68602
TEAD2,0.787762,0.194686
CCR2,1.16207,-0.367669
JAK1,1.19385,0.51718
APOBEC1,1.32979,-0.284222
PRMT6,0.883245,0.212136
