HGNC_Symbol,log2R_CNA,Z_Score
RB1,-0.0439454,9.02
EPHB6,0.791995,0.2
SMARCB1,-0.0217439,49.34
MYT1L,-0.0274229,0.5
EHMT2,1.14826,63.93
KEAP1,0.0288755,33
JMJD1C,0.0417662,7.76
IKZF1,-0.00375905,0
ADARB1,-0.0438504,14.88
PPP2R1A,-0.00329495,208.38
AKT2,-0.00329495,97.24
MYC,0.764778,61.89
CHEK2,-0.0217439,6.13
MYB,-1.61545,0.42
AKT3,0.709825,7.53
KDR,0.113136,0.04
FBXO4,0.0590215,10.54
AKT1,0.704832,210.85
SOX9,-0.0012943,0.58
PIP4K2C,0.0262159,46.53
HMCN1,0.893719,5.84
SKP2,0.0590215,4.9
B2M,-0.0340206,1207.25
TP63,-0.0719343,0.02
EPHA5,0.113136,0.96
DAXX,1.15062,37.98
CIRBP,0.156734,539.36
DICER1,0.651625,7.2
HLA-A,1.14826,1640.47
HNF1A,-0.0366016,0.14
TMEM82,-0.0130947,0
RUNX1,-0.0438504,0.45
JMJD6,-0.0012943,20.96
BCR,-0.0217439,12.04
AR,-0.00438505,0.12
SCGB1C1,-0.0468602,0
KCNQ2,0.704604,0.06
DDIT4,0.0417662,22.61
BTK,0.017944,0.78
TP53,-1.46937,13.69
EPHA3,0.118408,0.05
LLGL2,-0.0012943,3.4
EPHA10,-0.0283268,0.66
PDGFB,-0.0217439,1.21
PRDM14,1.32924,0
PDGFA,0.0945826,9.28
GATA3,-0.0879809,0.03
PIK3R1,0.00221435,7.47
GATA2,-1.54127,2.63
GATA1,0.178439,0.03
BRIP1,-0.0012943,3.58
GRIN2A,-0.0256656,0.19
NKAIN4,0.704604,35.25
H3C2,1.28481,0.64
APOBEC3C,-0.0217439,36.34
APOBEC3D,-0.0217439,1.4
WWTR1,-1.60695,9.21
FER1L5,-0.0065954,0.03
CREBBP,-0.0256656,14.6
YES1,-0.0815355,7.5
APOBEC3F,-0.0217439,4.06
APOBEC3G,-0.0217439,4.95
XRCC2,0.725498,3.92
XRCC3,0.704832,21.75
PLK1,0.0225119,6.37
BRAF,0.791995,5.6
A1CF,-0.00527246,0.02
H1-2,1.28481,53.95
SMARCA4,0.0288755,51.69
CYLD,0.0209097,4.54
STAG2,0.0378391,7.02
AGO3,-0.066019,3.43
AGO4,-0.066019,7.32
FUBP1,0.0860626,36.09
ID2,-0.0274229,18.5
AGO1,-0.066019,4.29
AGO2,1.12637,12.26
ID1,-1.46253,0.04
ID3,-0.0130947,14.36
ATM,-1.52121,17.97
FAT4,0.100479,0.12
CDK12,-0.0172851,13.65
BAP1,-0.0634859,53.9
APOBEC3A,-0.0217439,0.47
EZH1,-0.0172851,13.94
ATR,-1.60695,2.39
TP73,0.0625445,0.61
EZH2,0.791995,8.56
RET,0.030526,0.23
COL18A1,-0.0438504,40.72
SETD2,-0.0634859,3.57
CDKN1B,0.0262159,11.79
SETD7,0.0309824,11.61
BRCA1,-0.0172851,3.54
CTCF,0.0139866,8.11
GLI1,0.0262159,0.52
BRCA2,0.0133471,1.68
PHF6,0.00347279,6.34
GLI3,-0.00375905,5.38
GLI2,0.0476078,0.43
MED12,0.0191248,13.21
HEY1,1.32924,58.8
HEY2,-1.61545,0.14
CIC,-0.00329495,25.02
JAK2,-1.46495,1.7
JAK3,0.0288755,0.1
TEAD1,0.0190031,21.74
HRAS,-0.0468602,36.71
TEAD2,-0.00329495,25.84
H3-3A,0.655431,336.95
CCR2,-0.0634859,0
JAK1,0.164222,10.62
TEAD4,-0.0559209,10.96
APOBEC1,-0.0559209,0
PRMT6,0.0189519,8.9
PRMT5,-0.0621757,40.27
PBRM1,-0.0634859,6.65
APOBEC2,0.687225,0.04
PRMT2,-0.0438504,64.37
PRMT1,-0.00329495,78.52
HSBP1,-0.0801712,78.93
APOBEC4,0.707209,0.01
NCOA3,0.676613,4.04
GPR32,-0.00329495,0
MST1,-0.0634859,21.69
PRMT3,0.0190031,12.06
TET2,0.0376331,1.5
ASH1L,1.13274,6.99
PAX5,-1.41889,0
MED23,-1.61545,5.02
ITPKB,0.655431,132.61
RAD51B,0.67994,14.34
RAD51D,-1.48472,3.35
RAD51C,-0.0012943,26.3
NCOR1,-1.52063,7.87
KIT,1.05066,79.19
DDR2,0.717871,5.43
YAP1,0.0405004,20.66
AMER1,-0.00438505,1.44
SLC66A1,-0.0130947,30.73
DOT1L,0.156734,8.02
CXCR4,0.0476078,0.09
EGFR,-0.00375905,0.05
RAD54B,0.73659,6.68
NSD3,-0.0244885,11.3
NRAS,-0.0140065,12.64
NSD1,-0.0114292,8.11
