HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,2.13659,0.09
RB1,0.628009,16.96
SMARCB1,0.981515,35.35
MYT1L,0.783787,0.49
EHMT2,1.45736,21.13
JMJD1C,0.0653548,14.94
KEAP1,0.968014,18.66
ADARB1,0.935226,4.17
IKZF1,1.97725,0.04
PPP2R1A,0.956887,68.15
CHEK2,0.905549,11.47
AKT2,0.965424,55.8
MYC,1.00381,117.2
MYB,1.23248,1.09
AKT3,1.19567,45.18
KDR,1.00602,0.02
FBXO4,0.97743,10.64
AKT1,1.00331,63.61
PIP4K2C,1.10203,50.12
HMCN1,1.33105,47.15
SOX9,1.49092,0.02
SKP2,0.97743,9.25
B2M,1.00911,1379.9
TP63,0.99101,0.03
EPHA5,1.00602,4.44
DAXX,1.45736,40.23
CIRBP,0.896329,394.66
DICER1,1.00331,16.53
HLA-A,1.42643,662.43
HNF1A,1.26914,0.03
RUNX1,1.02785,3.9
JMJD6,1.31474,21.59
TMEM82,1.11951,0
BCR,0.981515,0.07
AR,0.524037,0
SCGB1C1,0.489772,0
DDIT4,0.193699,35.58
KCNQ2,0.812476,0
BTK,-0.218619,2.76
TP53,0.476266,14.05
EPHA3,1.00245,0.72
LLGL2,1.31474,1.34
EPHA10,1.11951,0.25
PDGFB,0.920207,0.19
PDGFA,1.68378,0.09
PRDM14,0.997004,0.01
PIK3R1,0.97743,12.36
GATA3,0.0537548,0.05
GATA2,1.00245,0
GATA1,1.03979,0
NKAIN4,0.812476,0
GRIN2A,0.99643,0.02
BRIP1,1.41576,7.32
H3C2,1.5727,0.83
APOBEC3C,0.920207,28.93
APOBEC3D,0.920207,2.75
WWTR1,1.00245,47.02
CREBBP,0.890776,22.83
FER1L5,0.837373,0.02
APOBEC3F,0.920207,2.54
YES1,0.9827,17.27
APOBEC3G,0.920207,8.47
XRCC2,2.12976,10.92
PLK1,0.984522,25.85
XRCC3,1.00331,15.24
BRAF,2.13659,26.68
A1CF,0.173749,0
H1-2,1.5727,14.3
SMARCA4,0.968014,55.56
CYLD,0.529094,13.55
STAG2,-0.266563,43.12
AGO3,1.11951,4.48
AGO4,1.11951,11.24
AGO1,1.11951,12.71
ID2,0.867949,2.61
FUBP1,1.11951,58.48
ID1,0.991046,0.76
AGO2,0.802199,8.36
ID3,1.11951,0.99
ATM,-0.154903,43.58
CDK12,1.41576,27.57
FAT4,1.02936,0.32
EZH1,1.41576,29.09
BAP1,0.943598,45.93
APOBEC3A,0.920207,0.36
ATR,1.00245,14.78
TP73,1.11951,0.03
EZH2,2.14239,45.67
RET,0.168398,0.01
COL18A1,0.935226,7.12
SETD2,0.96427,7.2
CDKN1B,1.10203,25.32
SETD7,1.02936,17.5
CTCF,0.511027,15.53
BRCA1,1.41576,17.31
BRCA2,0.604834,6.37
GLI1,1.10203,0.01
PHF6,-0.266563,11.19
GLI3,1.97725,15.15
GLI2,0.594947,0
MED12,0.524037,20.89
HEY1,0.997004,4.59
HEY2,0.501619,0.89
CIC,0.999148,20.28
JAK2,0.713566,3.4
JAK3,0.965424,1
TEAD1,0.56294,70.66
HRAS,0.489772,24.24
H3-3A,1.62687,370.47
TEAD2,0.956887,10.62
CCR2,0.96427,0.06
JAK1,1.11951,27.55
APOBEC1,1.10203,0
TEAD4,1.10203,18.23
PRMT6,0.588902,2.93
PRMT5,1.05137,65.93
PBRM1,0.943598,72.47
APOBEC2,1.45736,0
PRMT2,0.935226,95.5
PRMT1,0.956887,97.1
APOBEC4,1.60678,0
HSBP1,-0.266114,43.27
GPR32,0.956887,0
NCOA3,0.991046,6.73
PRMT3,0.56294,17.2
MST1,0.943598,22.63
TET2,1.0204,3.78
PAX5,0.155897,0
ASH1L,1.47028,18.17
RAD51B,1.00331,8.52
ITPKB,1.62687,66.19
MED23,0.501619,17.35
RAD51D,1.41576,10.05
NCOR1,0.548063,28.53
RAD51C,1.41576,35.11
KIT,1.00602,41.96
DDR2,1.20441,16.14
AMER1,0.5306,0.72
YAP1,-1.61442,9.34
SLC66A1,1.11951,13.6
DOT1L,0.896329,6.04
CXCR4,0.642743,4.02
EGFR,1.97725,0.21
RAD54B,0.997004,8.52
NSD3,0.468549,25.05
NRAS,0.640298,32.1
HSF2,0.550486,11.32
NSD1,0.927915,10.9
HSF1,0.802199,36.69
NSD2,0.973291,22.92
SPOP,1.41576,20.63
HSF4,0.511027,58.59
RAD54L,1.11951,6.01
PMS2,1.90487,31.28
CSMD3,0.997004,0.01
PAK3,-0.227902,0.86
BID,0.981515,4.18
SF3B1,0.534489,155.88
PMS1,0.606492,8.37
NPM1,0.927915,1609.76
CDKN2C,1.11951,19.56
MAP3K1,0.97743,12.7
CDKN2A,0.155897,67.78
H2BC4,1.5727,4.83
SAAL1,0.56294,20.07
WNT7A,0.958174,0
MLH1,0.980317,20.18
TARBP2,1.10203,33.86
DSPP,1.0204,0.01
WT1,0.547501,0
KLHL6,0.99101,0.22
TTC5,1.05137,13.29
NEK10,1.04834,1.4
CTNNB1,0.980317,346.58
CRLF2,1.00912,0
FOXA1,1.05137,0
PRDM9,1.00763,0.09
KDM1A,1.11951,30.33
KDM1B,1.03614,17.67
MPL,1.11951,0
ATN1,1.10203,30.3
PRDM2,1.11951,16.09
PRDM1,0.524404,0.02
IGF1R,1.01097,35.97
STK11,0.896329,20.94
CCND1,0.714429,189.62
CDH1,0.511027,76.33
HCFC1R1,0.890776,30.07
EP300,0.920207,18.84
ARID2,1.10203,6.48
ROS1,0.475237,0
MEN1,0.714429,19.29
PDGFRB,0.927915,0.23
LMO1,0.56294,0
RNF43,1.41576,6.61
PDGFRA,1.00602,0.06
MAP2K4,0.548063,8.44
MAP2K1,1.01097,17.58
MAP2K2,0.896329,70.77
KDM2A,0.714429,22.36
KDM2B,1.26914,10.72
FBXW7,1.02936,9.84
HGF,1.54993,0.02
TSC1,-0.0724396,7.86
TLE6,0.896329,3.81
MSH6,0.87354,21.99
MYCL,1.11951,0.03
GPRIN2,0.168398,0.02
MYCN,0.867949,0.92
SMO,2.13659,0.24
MSH2,0.87354,20.56
TBL1XR1,0.99101,52.15
CCNE1,0.965424,7.21
SRSF2,1.31474,169.77
PGR,-1.61442,0
RAD54L2,0.943598,13.08
ROR2,-0.0209662,0.02
PPEF1,1.00912,1.69
RAF1,0.958174,46.26
CARD11,1.90487,0
INO80C,1.04106,17.67
NOTCH2,0.640298,30.39
KMT2D,1.10203,25.4
CSF1R,0.927915,0.29
NOTCH3,0.968014,0.31
DNMT1,0.968014,35.8
NOTCH1,-0.0724396,2.91
CBFB,0.511027,31.45
NOTCH4,1.45736,2.06
KMT2C,2.12976,21.55
ZFP36L1,1.00331,32.82
STK3,0.997004,13.34
UBC,1.26914,503.21
ABL1,-0.0724396,9.53
SMYD3,1.18493,17.86
SLC38A3,0.943598,0
SMAD2,0.99375,70.5
SMAD4,0.995312,35.39
MUC16,0.968014,0
MUC17,1.4412,0
PTCH1,-0.0209662,0.65
IDH1,1.07031,65.17
IDH2,1.01097,13.13
INHBA,1.97725,0.38
ESR1,-0.265827,0.53
PALB2,0.984522,12.5
AICDA,1.10203,0.35
LRP1B,0.573349,0
PTPRD,-7.64386,1.55
AFDN,-0.286894,0.4
CDK6,1.4412,12.85
LRFN4,0.714429,8.94
FES,1.01097,2.6
CDK4,1.10203,178.53
GNAQ,-0.0209662,15.78
NF1,1.41576,24.69
MDM2,1.39576,182.45
BCL2,1.03964,13.18
GNAS,0.991046,484.48
MDM4,1.53271,39.93
NF2,0.905549,20.3
FGFR4,0.927915,2.39
FGFR3,0.973291,0.09
MYD88,0.980317,16.03
FGFR2,0.150179,0.03
NFE2L2,0.50526,41.21
FGFR1,0.468549,5.55
ALK,0.87354,1.11
KDM5A,1.10203,15.6
PIWIL1,1.29679,0.02
KDM5B,1.41529,24.19
KDM5C,1.03979,37.11
ZMYND19,-0.0724396,11.9
FLT3,0.604834,0
RASGRF2,0.954667,0.18
PTEN,0.172521,28.51
TNFAIP3,-0.326873,23.05
ADAR,1.47028,109.98
CDC73,1.24519,16.75
AFF2,0.478042,0.34
RPGR,1.00912,9.47
POLB,0.468549,42.83
FAM166A,-0.0724396,0
CASP8,1.07031,11.02
DNMT3B,0.991046,0.91
POLI,0.995312,17.89
KDM6A,1.03979,15.17
KDM6B,0.476266,4.84
HSP90AA1,1.00331,846.21
TBP,-0.286894,6.78
ATRX,0.489842,22.47
DNMT3A,0.87354,16.57
AXIN1,0.890776,8.62
HAUS5,0.965424,9.8
ARID1A,1.11951,21.79
ARID1B,-0.529393,12.08
ETV6,1.10203,8.33
TGFBR2,0.980317,21.19
LATS1,-0.265827,4.42
TRAF7,0.890776,28.45
DALRD3,0.943598,29.04
LATS2,0.604834,5.33
SETBP1,0.99375,3.05
RASA3,0.599783,2.68
PIK3CA,0.99101,9.52
SOS1,0.87354,9.17
MET,2.21472,42.29
KDM3A,1.50903,47.56
PRKAA1,0.97743,43.09
LTK,1.01712,0.57
PRKAA2,1.11951,0
KDM3B,0.954667,23.17
SRC,0.991046,3.56
ATP10B,0.927915,0.14
U2AF1,0.935226,47.89
CBL,-0.195452,3.15
ACVR1B,1.10203,7.74
AURKC,0.956887,1.04
AURKB,0.476266,20.86
TTN,1.00672,0
AURKA,0.991046,27.18
MAPK9,0.927915,11.77
MAPK8,0.168398,9.33
ERBB3,1.10203,158.1
ERBB4,1.04968,0.21
GNA11,0.896329,21.23
ERBB2,1.41576,10.34
DROSHA,0.97743,42.07
PTK2B,0.504782,3.04
HES1,0.99101,14.76
VHL,0.958174,16.82
MUC4,0.99101,0
NTRK1,1.47028,0.05
NTRK2,-0.0209662,0.01
TCF7L2,0.122061,5.08
KDM4A,1.11951,13.49
KDM4B,0.896329,10.13
KDM4C,0.713566,9.71
KDM4D,-0.183715,0.88
PRRX1,0.645016,2.97
NTRK3,1.01097,0
PTPN11,1.26914,66.08
LYSMD3,0.954667,15.38
KLF4,-0.0209662,2.29
MUC5B,0.489772,0.5
USH2A,1.34495,0.52
TBX3,1.26914,0.07
TSHR,1.00331,0
MTOR,1.11951,31.5
ASXL1,0.991046,49.62
RAD52,1.10203,7.64
RAD50,0.954667,22.6
RAD51,1.01712,6.71
APC,0.954667,10.35
CARM1,0.968014,22.19
KRAS,1.10203,16.55
BCOR,1.03979,13.41
